ClassName;FileName;Parameter;ParamIniVal;SourcecodeVal;
TDaylength;Components\CERES Wheat\Daylength.pas;Latitude;50.811217;51;0.188783
TDaylength;;sowingdate;45931;NOT FOUND;#WERT!
TDevelopment;Components\CERES Wheat\Development.pas;sowingdate;45931;300;45631
TDevelopment;Components\CERES Wheat\Development.pas;fdl;0;0;0
TDevelopment;Components\CERES Wheat\Development.pas;Ini_inLMS;4;4;0
TDevelopment;Components\CERES Wheat\Development.pas;Internode;3;3;0
TDevelopment;Components\CERES Wheat\Development.pas;MaxPhotoperiod;20;20;0
TDevelopment;Components\CERES Wheat\Development.pas;MaxVernDays;50;50;0
TDevelopment;Components\CERES Wheat\Development.pas;minLeaf_number;7;7;0
TDevelopment;Components\CERES Wheat\Development.pas;p1d;2.76;2.76;0
TDevelopment;Components\CERES Wheat\Development.pas;p1v;2.84;2.84;0
TDevelopment;Components\CERES Wheat\Development.pas;p3;183.48;183.48;0
TDevelopment;Components\CERES Wheat\Development.pas;p4;200;200;0
TDevelopment;Components\CERES Wheat\Development.pas;p5;11.67;11.67;0
TDevelopment;Components\CERES Wheat\Development.pas;p9;139.9;139.9;0
TDevelopment;Components\CERES Wheat\Development.pas;Ph39;101.56;101.56;0
TDevelopment;Components\CERES Wheat\Development.pas;phint;91.74;91.74;0
TDevelopment;Components\CERES Wheat\Development.pas;plastochron;68.3914;68.3914;0
TDevelopment;Components\CERES Wheat\Development.pas;sdepth;3;3;0
TDevelopment;Components\CERES Wheat\Development.pas;tBase;0;0;0
TDevelopment;Components\CERES Wheat\Development.pas;TSumInternode;97.09;97.09;0
TDevelopment;Components\CERES Wheat\Development.pas;VernMaxTemp;18;18;0
TDevelopment;Components\CERES Wheat\Development.pas;VernMinTemp;-0.5;-0.5;0
TDevelopment;Components\CERES Wheat\Development.pas;VernOptTemp1;0.5;0.5;0
TDevelopment;Components\CERES Wheat\Development.pas;VernOptTemp2;6;6;0
TDevelopment;Components\CERES Wheat\Development.pas;xstage_fin_leaf_prim;1.78171;1.78171;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;pSWDF;1.5;1;0.5
THumeWheatDryMatter;;sowingdate;45931;NOT FOUND;#WERT!
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;CiCompensation;350;350;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;critTempDiff;8;8;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;fCO2;0.086;0.086;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;fCO2_scale;0.723;0.723;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;fCWSI;0.077;0.077;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;k_inc;-0.06;-0.06;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;k_ini;0.75;0.75;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;kPAR;0.7;0.7;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;pLUE;3.1;3.1;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;SLN_crit_inc;-0.228;-0.228;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;SLN_crit_int;3.74;3.74;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;SLNI_a;-0.197;-0.197;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;SLNI_b;2.8;2.8;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;SLNI_c;-1.6;-1.6;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;Tmax;35;35;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;TmaxweightingF;0.567;0.567;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;Tmin;0;0;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;Topt_WE;20;20;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;Topt1;10;10;0
THumeWheatDryMatter;Components\CERES Wheat\UHumeWheatDryMatter.pas;Topt2;20;20;0
THumeWheatPartitioning;Components\PlantComponents\UAbstractPlant.pas;sowingdate;45931;0;45931
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;dECDP;250;250;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;EC_LGend;39;39;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;ECcritNcLeaf;27;27;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;fFineRoot0;0.653;0.653;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;fFineRootDec;0.000501;0.000501;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;fRootN_ini;0.4;0.4;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;fRootN_min;0.1;0.1;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;g;1.46;1.46;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;GM4;144.6;144.6;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;GM4_2;2.6233;2.6233;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;h;-2.13;-2.13;0
THumeWheatPartitioning;Components\PlantComponents\UAbstractPlant.pas;HarvestDate;1000000;1.00E+06;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;HImin;0.51;0.51;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;Ini_SEEDRV;0.05;0.05;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;iniGRNWT;3.5;3.5;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;iniLA;5;5;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;k_SEEDRV;0.15;0.15;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;k1;0.0018;0.0018;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;k2;10;10;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;maxNcStem;7;7;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;maxNNI;1.5;1.5;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;maxNupTake;6;6;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;NcLeafMin;4.5;4.5;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;NcLeafVf1;-0.0061;-0.0061;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;NcLeafVf2;5.9543;5.9543;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;NcStem_a;0.1475;0.1475;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;NcStem_b;0.0011;0.0011;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;NcStemMin;4;4;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;NNIcrit;1.377;1.377;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;NNIinc;0.595;0.595;0
THumeWheatPartitioning;Components\PlantComponents\UAbstractPlant.pas;Par_ExtCoeffPAR;0.675;0.675;0
THumeWheatPartitioning;Components\PlantComponents\UAbstractPlant.pas;Par_Psi2;200;200;0
THumeWheatPartitioning;Components\PlantComponents\UAbstractPlant.pas;Par_rc0;50;50;0
THumeWheatPartitioning;Components\PlantComponents\UAbstractPlant.pas;Par_Weff;100;100;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;pBioPostAnth;-0.48536;-0.48536;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;pBioPreAnth;0.50254;0.50254;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;pBioPreAnth2;-4.67E-06;-4.6665E-06;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;pDMTrans;25;25;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;pintercept;33.989;33.989;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;Plants;350;350;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;pNdefAllo;0.63;0.63;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;psi_crit;2.24499;2.24499;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;psi_s;0.2956942;0.2956942;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;PsiSen1;3.6;3.6;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;PsiSen12;2.5;2.5;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;QHI_INC;0.196;0.196;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;QHI_INT;0.2786;0.2786;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;relLayerN_Int1;0.3305;0.3305;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;relLayerN_Int2;0.2783;0.2783;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;relLayerN_Int3;0.2292;0.2292;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;relLayerN_S1;0.0104;0.0104;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;relLayerN_S2;0.017;0.017;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;relLayerN_S3;-0.0071;-0.0071;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;rgr_GrainN;0.005;0.005;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;rgr_NcLeafWinter;0.02;0.02;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;rgr_NcStemWinter;0.02;0.02;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;RND;0.008;0.008;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;RNS;0.0015;0.0015;0
THumeWheatPartitioning;Components\CERES Wheat\UHumeWheatPartitioning.pas;TTfRootN;2000;2000;0
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;Icrit;0.8;0.2;0.6
THumeWheatLeafArea;Components\CERES Wheat\UHumeWheatLeafArea.pas;aSLA;136.69;136.69;0
